Timestamp,gender,SIM Operator,Does anyone in your house/friend group utilize the same sim operator as you?,Since how many years have you been using the same operator's serivces?,do you use the internet services?,does your operator provide TV streaming services? (live tv),"does your operator provide movie streaming services? (netflix, hotstar etc)",what is the subcription tenure for your sim services?,what is your payment method generally for purchasing/renewing the subscription?,how much does your subscription cost?,do you use a second sim with a different operator?
9/3/2025 3:34:13,Female,Airtel,Yes,3,Yes,Yes,Yes,Monthly,UPI,599,No
9/3/2025 3:55:26,Male,Jio,Yes,5,Yes,Yes,Yes,Monthly,UPI,899,No
9/3/2025 3:58:54,Male,Airtel,Yes,9,Yes,Yes,Yes,Monthly,UPI,,No
9/3/2025 4:06:16,Male,Jio,Yes,7,Yes,Yes,Yes,Monthly,UPI,700,No
9/3/2025 6:05:15,Male,Jio,Yes,5,Yes,Yes,Yes,Yearly,UPI,1899,No
9/3/2025 6:06:19,Male,Airtel,Yes,5,Yes,Yes,Yes,Monthly,UPI,1500,No
9/3/2025 6:09:16,Female,Jio,Yes,4,Yes,Yes,No,Monthly,UPI,899,No
9/3/2025 6:28:36,Female,Jio,Yes,5,Yes,Yes,Yes,Monthly,UPI,,No
9/3/2025 6:39:32,Male,Jio,Yes,2,Yes,Yes,Yes,Monthly,UPI,249,No
9/3/2025 6:48:14,Male,Jio,Yes,5,Yes,Yes,Yes,Monthly,UPI,884,Yes
9/3/2025 7:07:17,Female,Airtel,No,1,Yes,Yes,Yes,Monthly,UPI,,No
9/3/2025 7:20:59,Male,Jio,No,6,Yes,No,No,Yearly,UPI,3500,No
9/3/2025 7:29:35,Male,Jio,Yes,4,Yes,No,Yes,Monthly,UPI,799,No
9/3/2025 7:32:25,Female,Airtel,Yes,5,Yes,Yes,Yes,,Credit Card,,No
9/3/2025 7:45:36,Male,Jio,Yes,5,Yes,No,Yes,Monthly,UPI,349,Yes
9/3/2025 7:46:17,Male,Jio,Yes,4,Yes,Yes,Yes,Monthly,UPI,,No
9/3/2025 7:49:27,Male,Jio,Yes,2,Yes,No,Yes,Monthly,UPI,900,No
9/3/2025 8:19:56,Male,Jio,Yes,9,Yes,Yes,Yes,Monthly,UPI,,Yes
9/3/2025 8:27:23,Male,Jio,Yes,1,Yes,No,No,Monthly,UPI,,No
9/3/2025 8:27:52,Male,Vi,Yes,2,Yes,No,No,Monthly,UPI,299,No
9/3/2025 8:43:22,Female,Airtel,Yes,5,Yes,Yes,Yes,Monthly,Credit Card,,No
9/3/2025 8:50:21,Female,Jio,Yes,6,Yes,Yes,Yes,Monthly,UPI,900,No
9/3/2025 8:58:26,Male,Airtel,Yes,2,Yes,No,Yes,Monthly,UPI,,Yes
9/3/2025 9:11:50,Male,Jio,Yes,5,Yes,No,No,Monthly,UPI,,No
9/3/2025 9:36:14,Female,Airtel,Yes,6,Yes,No,Yes,Monthly,UPI,,No
9/3/2025 10:02:55,Male,Airtel,Yes,5,Yes,No,No,Monthly,UPI,399,No
9/3/2025 11:17:29,Male,,,,Yes,No,No,Monthly,,,Yes
9/3/2025 11:23:09,Male,Jio,Yes,10,Yes,Yes,Yes,Yearly,UPI,3999,No
9/3/2025 11:26:20,Male,Airtel,Yes,3,Yes,No,No,Monthly,Bank Transfer,825,Yes
9/3/2025 11:30:19,Male,Jio,Yes,4,Yes,Yes,Yes,Yearly,Credit Card,4300,No
9/3/2025 11:30:20,Female,Airtel,No,10,Yes,Yes,Yes,Monthly,UPI,,No
9/3/2025 11:44:21,Male,Vi,Yes,10,Yes,Yes,Yes,Monthly,UPI,1000,Yes
9/3/2025 11:47:48,Female,Airtel,Yes,10,Yes,Yes,Yes,Yearly,Bank Transfer,,No
9/3/2025 11:47:48,Female,Jio,No,1,Yes,Yes,Yes,Monthly,UPI,,Yes
9/3/2025 12:12:16,Female,Airtel,Yes,8,Yes,Yes,Yes,Yearly,UPI,,No
9/3/2025 12:29:02,Male,Airtel,Yes,9,Yes,Yes,Yes,Monthly,UPI,499,Yes
9/3/2025 16:00:58,Female,Jio,Yes,7,No,Yes,Yes,Monthly,UPI,399,Yes
9/3/2025 16:08:12,Female,Vi,Yes,4,Yes,Yes,Yes,Monthly,UPI,899,No
9/3/2025 16:20:27,Male,Airtel,Yes,5,Yes,No,No,Monthly,UPI,239,No
9/3/2025 16:52:59,Male,Jio,Yes,4,Yes,Yes,Yes,Yearly,Manual(from offline store),2599,No
9/3/2025 17:56:46,Female,Airtel,Yes,3,Yes,No,No,Monthly,Bank Transfer,941,No